Text,Link
Sign in,https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://news.google.com/search?q%3Dcricket%2Bindia%2Bsite:thehindu.com%2Bwhen:1d%26hl%3Den-IN%26gl%3DIN%26ceid%3DIN:en&followup=https://news.google.com/search?q%3Dcricket%2Bindia%2Bsite:thehindu.com%2Bwhen:1d%26hl%3Den-IN%26gl%3DIN%26ceid%3DIN:en&hl=en-IN&ec=GAZAqgM
Pune pitch under scanner as India gears up to meet New Zealand in second Test,https://news.google.com/read/CBMi6gFBVV95cUxPTE9WMlo5VXJ4ZC1DWDF4RW1uUWpHRnBSY2hGWHdndThXelp2Z1VEVFZ2c1VNSVo4cVNyYjVYVTZaeURKWTloaTZOMVgtQWRISzJRMW9pbDRnSERuZzVrSEw5NE9YeGY3ay1ET2c3ZXEtY3gtNmZsb1FnMkJKTGtRc3BTTGREbkJEckEzVXVILWxVLVZTTjl0VVowWHlYTmtjd0hwQkpJWnlMM3d2Z0JKaFRTaEx4OUlpNS1qUU5kcU9lMjVnaTNkSnhTQXhWbHhsY0lyNmhyenBaTlM0Nk1RREwyLWlpZ3N5d0HSAfABQVVfeXFMUF9tS3FMSXh3V2R3WlU4QzdmdE9MRnN0OTIzVy1MSU9iX0ZBd2xycHlsY0ZYVGxuN2hiZWdDWXdxM1dkMDJiZC1qVHJTRkpxbUl4em04Tl9BbzB4ZlFfSlBZVnh5eE1MUnRFSDVrVTA0a1VKN0NfakpmcElNQWxlczlnd04zVWhGZlhVelM2blVGY0pScG1yNHJHRFR4Qi02ZzhCVDZGbTF0VjJYVUMtU0lka1czXzQ0cThqY0VwaVMxemI5MUctejZLN0pwN1lNb1R4M21jbDliUVBaT0NFb203dmRqUWZ0Zm8ySEJPWlAy?hl=en-IN&gl=IN&ceid=IN%3Aen
Warner willing to come out of retirement and play against India,https://news.google.com/read/CBMi2wFBVV95cUxQbHEwRHBsN2JEUVhWbUlwUnRrVl85eXY1NmliZTZpa1F1UWhfQzBOa2JvRGN4QTd6aF9nMHh6aFZ6ZjhTMU9LZ3VXWFVCTFpSZ2NlcFFlMm43Y3FGekdkMEFsT2pfaUMydDJuRDFEUUZRUTdYd0t5UWN1UXVpakI5bHl1c2IwRkJ0dm1RbEpRd3BoSWNqWU1wYkZKdzlzamwzY21nMTlXRUJ2Qm1wWHAxT1UwRHJTUHJwbjZhV2M3M2luN3RsWHFXOHZJdkxQZWhnM2FPZ3RfamR4SjTSAeIBQVVfeXFMUGhwUTJWVEJzamFUNHJQVDhGRm9Vb2J0Y005OFVZWWhQbnBERUs2ekY3UlU5Mmt3VHNxTnhHbE80NjNETGdRcC1zWldIeGpuWUZZTEdOa0daZ1E1b3VrTDlMdEgxcnMyY0NJVWhQMFExaElGY1dEZGdwd2drdFd4cXlZWk1yc3ZzUTV6VnZaRW1GUF94YWVZcHBTSV9NOTItVjNVeUFTWWcyWHVadVpQOHA1OFN1b2tGcGU0MjhLd25UdWh1aTdhOFBkNzRudXdPbDdnZFhIUFRaT3NkRDVnc3hJUQ?hl=en-IN&gl=IN&ceid=IN%3Aen
"IND vs NZ, 2nd Test: Rishabh Pant, Shubman Gill set to feature in starting line-up, confirms ten Doeschate",https://news.google.com/read/CBMi5wFBVV95cUxPVE4wM2x3ak5uMGVzYU0yNXVHOFU3QW1BTUZiZjZ2WGh1QjhVV0FwNFJoY0MzTEx6V0dqZDRPdDBFWHZmT2YzZDF1Nk81VW9PUndUNGMxY1hScW1leG5pcHFORDhxdGNqeFFlZ1pjeWFjSzBsRWhWYnVxRVNHQS1wZFdZVDl3U1VpVi1pTnlDbnE1Yms2Q0lXZUMxZHhVWnkzUVJ0V0REN0VyVVZ4OFQtWFd2ZXIxRzNOMElBSlppanhjQ0lrR1NueHNyeXE2U3hvZ1c3S3p6SVJQZnIwazF1dlp1STZ3dHPSAe4BQVVfeXFMTldoSUtCU1JIZmo5MWFTbGI1cmgxNmdhcUFuNFJtSGNxVklyUUdUUlFzQlNsNEJpaS01X2QyUmFHd2t1OXE2SzlPVG9keUR0ellXU0MwVE1Nd1pJOU5QdUV6cldsTXJYcXJKS2FEamVTZm5EMkZLblpFemZCOGo4OXE1SE1GX3d3Y29MZW5lbW94UTVEZktPSzRPOXltUTZqbnRhbHdhb0lTbnhFUEg0WXUtZnE3OEdVYk1aNnpvbnEtSEZJaG8wa3V3ZmNfanNyTWFmbjRwSFhDd3NiZUVNbERrZ0Fza2Y3ckQxTVRXQQ?hl=en-IN&gl=IN&ceid=IN%3Aen
"India A squad for Australia tour: Full list of players, venues and dates",https://news.google.com/read/CBMi5gFBVV95cUxPa2pNcjhucFFYQS1JUWg2WDFsN0ZaLVZQYmdqczctZXZzN1hacUhKMkJJTzJ3VlBOYWpkWkFKU1hiLWMxejQxd3lHODZlV2JFY2Z6VEJuRnpnRElEU29NSjlmdzhiTmdua3MzeExDQ2s0b2xlTFBIT1ktcm5rR3B5YWRtal9GS1ZaNkJyazhWZEhBd3JVaDF5UE1nSXI0bHFiLTFGT0FTRmppN2lGelcwMHEwUU5XbExLNGtNVXd2U2E4bHA1NmJxOGF1Qkc2UGdPVlhSUFF0T3hEMGFWVjhrMjh3Mm05d9IB7AFBVV95cUxPNHFCWVNPc2RUNDJqUUpub2NqeV92eEZFcV9ndUE3UzN0Tl9scGFuTjd2cUFhYVEtT0tvbXFPTkJ4ak5aNG1ycVg0NENZV0sxTFJZR3RXTUp3eFN5S19MWDRVcmMyZVV4QmYxUW9nS2NPdjJ2ZUVSS2V0bVhEUlQ3dzBDQWlXR294TzBwaldnWTlMWUNCd3hlZHBIT1Z4U3BMYnVTVUdwc0F0T2U1V1IxZVJuanYwVjBrSlZSZTl4eUNteEE1YnN6b2VROV83V0NLZ05rSXFpRFJrdEowN2tFSUdvRzlRZUpfV1lmZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
CRICKET | A dry and bald pitch in the offing for the second Test,https://news.google.com/read/CBMivgFBVV95cUxNa2pYSkJwbjdpS2trSkNSMy1PSm5BWUd4aWJHblVIWFU1aTFUb3FfdXMtXzAzY2g3ampBa29oT3JpYmxSX0czZHdzZU9SeWwyMm9jekY0YWRERDVYX0V3clI5QnhWNmdFUXNHNFBSSHQyR2k3T1dXWmdIYmNpb3Q4SnFKWHpwaDBWSkM4d3ptYUdfcDlXeGlGSl9NSEE5dXNwekc1WVMta0l2am5qRE1Ic0lwUmxIcDNBa2U2dVFB0gHEAUFVX3lxTE5jT080aC1DOXpyckdwVmdYZ3FJdVB1N3lUd2hjV3BnOWJpcW53MDJFVDV1Z3VGZUdROU56SkFtUDZ2RVJWaVAxNGtUc3d3dW05czd1ZTBOamNpUEFUZ0tLR010bVlXZFJSZWNzMmJ4ZU5BMFk3XzFlUFZBM3UwYVdfc2RiTG5PcjN5emxTOS1lcUxDMWJaaXNHX2pSUVMxdWdjdWJSWm1WSGpja3hEZlRzdERZcFZmVGFOME1JWXFkUFp4RG4?hl=en-IN&gl=IN&ceid=IN%3Aen
"IND vs NZ, Women’s ODIs: New Zealand announces squad for India series; Polly Inglis earns maiden call-up",https://news.google.com/read/CBMi7AFBVV95cUxONTFaa0tNRE5CbUdhcUhub2RzTkFMMkJONm1HVGtteGFQbDhUZTQ0QkctTW5tenlqZkE0bDRkT0FzYUdlR0hsakhiLWR4WV9OMjRnNnEwX1FEUHNDY1Z0WjV4YlU5TW53eUpiV3lZVW0wNDl6MmRTckZZWnBvWUVtQjlhMDZQS2xYaUViZDhLRlRsWE1MUUItT0tUQTFLMGdVLW9tZm90SmJPMmpYWHpGQ0xCQ3k5QzZscWgtTnhxTDhJR0lkc0RnYnUxTFpUdnRBZzE1V0REbGlSV3Y3Q3BKUFZMWDdGVy1JMHh6ddIB8wFBVV95cUxQMGE5dTUwa3kybDFuM3JZeVhNY0ltb0Q5TUlfUGFSLUhfNktsWV9fMTExdC16bmVkeTZrNUVOdnA3Vk5kWlFUeDBGMW45d0VQWkJlMmVEVnlqQ19IVHpkeXl1MU9HcU4xT0c3ajZ0VHZGUWVicVAzWFlEVFNMaHloRV81My1veEp5YkhLcnVYYlJoZldpNl9GV1FGSE4zU3N4c2RwWlFBZWdZUTI4QXNGOTNOWXFZLTk0UkFRbUxqdGpWZUNCMnFEd2szcWRuc2w1bnpXd1FDMmpsUDR2TDJBQzcxcXBrQl8zc2NLVmdmeUVLTkk?hl=en-IN&gl=IN&ceid=IN%3Aen
Nitish Kumar ready to audition for fast-bowling all-rounder role on India A’s Australia tour,https://news.google.com/read/CBMi_wFBVV95cUxOMjd0RjljTnhsQnU2YXkwSmd6X01TeWJSZEJkTHpxOWRWVkhvV1M1cjBkbkRfbVhVNW5HNEtVZ3EtMHFOemNTRXU1di1WSnptemtaUDVCWDJBZm81TXdTNjI4ZS1xbTZwSFdjS0c5VERReUFyTXNSb0xLVkdta2YySlFzX0VXVExlcGExLWwxdmV5cHkxaG55MTdoemp2TVYzT0FOd09SU0liOE96VGpSUlNhZHR0QUttaC1RUTFiYTlOd0ZjZV9WeVlraVQ0Q05NTE1xb2x2amRldEJXVGdwdU52S2dJYVZjekZuVVZKN3VPbEJ3M0pseHd5YVRuTDjSAYYCQVVfeXFMTkpsdDFkenRybEMxOWtBczlIa0ZnU2dQQ09ZeXpaZDF1Tm1sbURtRkwtVmMtRDdDTkZlX2c4VGhjaG1ZeGZwN2t0SmRMNjdFMXN6R21XeC1xejh0YWY1NFh1aU1zdFR6UVhKNlh5V1YzMm10TllsTFFMVjBfU0RRNFhTbEYtWHo3VnFKcGhqcGg4REJCcWZQdEMzMXc4LWYzeWZ0bEJNRXZGazBrV19BU25Fenp6VU9UTG1MRjFneDYwM1NXVzNlSXVVMG1SU2lZWWJpZU4tRmlReHlpVnFfTkxkZHRNT3ZyeHpFeGRIS2pieXFHTFVBV0NPM0tjMEpqQmxacjNNZw?hl=en-IN&gl=IN&ceid=IN%3Aen
"India vs New Zealand | Gill, Pant set to be available for second Test",https://news.google.com/read/CBMiwwFBVV95cUxQZGk0VndKTndHY3djTDZ0M0VlbWY3c1p1R09QQWpzMmI1X3Q2ZG1Na1I2RDhYN1VfU0lSNnoxVFJreGN0cHROTW1iU2g3YWx6V1RYcVAwdGd6QmtqcFVTVWs3MkZoT1l3MzBvYThZMmQ4aHVkSHdFV3dFT1B3WUFVTDUtOUR0M0pmaWgyYmZmeFcyMTB2bkRCQWlyZlpPeDI2VXByMExJd1VIeE85blhNR0hsc0xHcDJrd0NMYlFnQUZZSEHSAcoBQVVfeXFMUHBLeFowMmFvUzBsTjVKeFVZZW92OXdiV0dFTldfb3NFLXBoa1VVVW1DeFFnX1Z3bUpKOHNJWFptOGZyejlWUE5jcFkxNUZ6YjlBWVZLbjhPTE9vLTRISlNlWWFjSDhhN3lKaU9jTU5HU1k2MWFaRGpqbmdDWmdNellmclhNamhDRGVQSEM4d1F2Z1d2bzVBd2F3dVdmR253RFEwUUoxempoUW56eDdHZU5TSGFWY1JKTmFPdG5YSURKbkh6S0gybG9yQQ?hl=en-IN&gl=IN&ceid=IN%3Aen
IND vs NZ: Kane Williamson to miss second Test against India,https://news.google.com/read/CBMi9wFBVV95cUxPbDQ2YmtEc3pmU3NYendZZDdoY1U1Vk1FWFdQSnlsTHlfbG8zT0ZCZUNaWm5wQTZ6cGlWVWdwcFlKa1FsZGZ3elhubVF5NUJ4dy1KNjg0VVVpdEVfcUhNRkRuWVQwWktoRU1HSERQa0tEX1RMTGF3WHB4Ml9sQjBmZ3ZqOTc4U1JJSDc5dFBhUk8tdkcxQ2o5VTdSLWN6TGIxVmlTOFRfSTB1U1h3ejNGX2YwbS11QVgtVWRFcXNUeU9FZ2JtclhZOXFsbWcwNk5Rb1JHcWFqX0lTQ1BmT09zeWl2Umt0WWY4akRDZE5jRkdQdEs2Umpr0gH-AUFVX3lxTFBKUkZxWERhLUpSZ1NuVVdvVkxPb3p3RUVIZFRwMG45SWt2TnlhaE80UHhvc040emEwZWJsRjVrRVo5Tm5QMlhkRDJBbGhNa3NmY3U2Z3BqQzF0RUdsQVNNMFlpTFgwLUI1MGQ4bHhPQUZwTC1ra0w0WmhUWUVDTHpZX3V6S1pLU1YwdXkzRzQ0VFRlMnhwS0VkMUxtMjgyTlhIOWdPVkhXQzE0eXJRUGVSQzdIY2Zjd0p6czcwdDctaURtQ1dFb2ZrcGN5RGVLQW9qY0ctZUtZM2NMSnNhUTZwSjNFZVpCUUFGOS12QUJlYkpZaHlSdUxjRFFRZEln?hl=en-IN&gl=IN&ceid=IN%3Aen
